M[M_sun], R[km], Lambda[1], P_c[MeV/fm^3], rho_c[fm^-3]
0.23841724892012095 16.20908015294055 2780876.1263280716 3.453507347168396 0.169602847481901
0.2484157436722787 15.866195137678108 2282210.8081943095 3.6355743879194677 0.17197879459970658
0.25869803387020424 15.56285048382088 1881512.803906556 3.8248193449616754 0.17437556132701343
0.2692637063189989 15.293490091023266 1558117.9389079816 4.020351154201343 0.17676752202026996
0.2801160585892854 15.053869568618328 1295456.4308538816 4.222493407990278 0.17914651759547365
0.2912456043399734 14.839880625604664 1081227.8169657032 4.432615629700085 0.18154932068886515
0.30267035203761017 14.648370456273568 905486.6817679931 4.651065454683845 0.1839797869751461
0.3143742785108556 14.476892975930523 760917.0833714746 4.878210146063449 0.18643956754415703
0.32635965239721876 14.323125662206305 641540.1683766649 5.111372966877135 0.18886914970551474
0.33862984612859764 14.184888929187862 542447.785894578 5.353730584540394 0.1913203450185627
0.3511833176691215 14.060619562999502 452979.6042235844 5.605787196708335 0.1938015169698765
0.3640188142717512 13.948846408076832 391116.6494269261 5.8679553786935 0.19631826259659182
0.3771446947518932 13.84813591030001 333356.55856993544 6.137153496117101 0.19881108395318683
0.39054912974404216 13.757479993549728 284827.03446281643 6.416758111539281 0.2013336201268203
0.4042385665225959 13.675905042063397 243950.2886571124 6.707602702835864 0.20389075564354836
0.4182136213061519 13.602544645167905 209392.78012861314 7.009820050149206 0.20647456880744408
0.4324716024577016 13.536538115237747 180109.55224917317 7.319964593734053 0.2090344104333376
0.44701206851559694 13.477162319187492 155228.27592935876 7.642654392087989 0.21163871002606593
0.46183705632032224 13.42384078688277 132541.56467488286 7.978423401977885 0.21428749402087552
0.4769464039865817 13.376159181011607 115967.58097737715 8.325395630698623 0.21694400168947006
0.4923373067803338 13.333513211498103 100509.21802537078 8.683415610338532 0.21959709452141907
0.5080064981999469 13.295473881101524 87259.50037826301 9.056039542414139 0.22229833352159814
0.5239588017597547 13.261623510236447 75882.5688245443 9.44387262407281 0.22505054463565471
0.5401940321644574 13.231651684815649 66092.34173578654 9.841580786760067 0.22777775878112846
0.5567018968230398 13.205025123728385 57649.58661123474 10.255174007365593 0.23055060960583015
0.5734865584944125 13.181761384528434 50363.505394860666 10.685695858342164 0.23337407011755287
0.5905525430606136 13.161357954295072 44059.73011989739 11.130257189788672 0.23620256036789472
0.607880269653059 13.1436219135848 38597.97728325017 11.589497489439958 0.23904767628692344
0.6254879133921886 13.128429529602258 33859.52796971465 12.067587342249329 0.24195213819544645
0.643362994994668 13.115420147183015 29742.396554676227 12.564312884965407 0.24490569184995942
0.6614973774742898 13.104467354092343 26158.155800813074 13.074437109989116 0.24783728060116225
0.6798983736119948 13.095244685480944 23030.46039640687 13.60552499089954 0.2508275057032624
0.6985495754956924 13.087780912436068 20305.43704765345 14.158482959578922 0.2538781532909298
0.7174654762908709 13.081894590657411 17921.523049910767 14.727413434396757 0.25692615123223606
0.7366360788424787 13.077463023069747 15835.52670849533 15.317696017285318 0.26002140860804296
0.7560433698553299 13.074167751539935 14007.856359740657 15.932241732260644 0.26318256203205
0.7756919179800145 13.072019034495282 12404.563625042758 16.56825653013938 0.26636997143177904
0.7955833116077342 13.071023321964507 10923.316258588637 17.224629782884225 0.26956983342926993
0.815704391419033 13.070749553958642 9757.891242020776 17.908060510012056 0.2728416566294908
0.8360495482375403 13.071372074977855 8667.5397339325 18.619392821871642 0.27618539352772853
0.856604144548276 13.072534845871344 7706.621149872382 19.349794875221843 0.2795174920729837
0.8773948204400676 13.07453569203672 6859.007368181576 20.110241241977725 0.2829203807343614
0.8983702320756259 13.076846951665214 6110.082657417584 20.901983539157616 0.2863959167466873
0.9195567699005041 13.079756998539098 5448.362384025899 21.71985850528733 0.2898954775955944
0.9409256089609898 13.082800596446242 4862.233156891166 22.566686309098916 0.29344056411846103
0.9624813401167905 13.086341951455013 4343.716813506426 23.44834041319626 0.2970690783958337
0.9842191770840892 13.090055546287422 3883.456194298746 24.365539600799192 0.30077714785095594
1.0061118921545034 13.093806846295646 3475.043727667297 25.309325205901843 0.3044781057809646
1.028158506897448 13.09766243748985 3112.356909831756 26.291969839759087 0.3082656472892209
1.0503623557529025 13.101542600633476 2789.7951932634273 27.314974593725452 0.3121416229917473
1.0726916721776698 13.105324534636807 2502.708923901239 28.37497013142151 0.3160752978251548
1.0951549524654096 13.109123832597565 2247.334240047854 29.47138037455944 0.3200556916007565
1.1177098559004817 13.112508834817342 2019.4191875053202 30.61282353472643 0.32412511417795337
1.1404006819641144 13.115883216548538 1816.0071864901595 31.80115275969736 0.32828456282205476
1.1631490863369314 13.118840977138335 1634.6109732401655 33.03111857002017 0.3324974410483572
1.1859942131959174 13.121537033117189 1472.3814548749272 34.30648729368088 0.3367818216992214
1.2088977415098643 13.12389958369349 1327.427880135125 35.634369637837324 0.3411719401596178
1.2318633474819383 13.125840393105884 1197.52061918629 37.016786702848634 0.3456665966847951
1.2548619991638024 13.127233429447777 1081.2078476764025 38.45046095498089 0.35022512579611276
1.277876234760823 13.128135562907994 976.9616160147444 39.93672931197642 0.354860011063551
1.3008889230946907 13.12849054771252 883.5543099761356 41.48447811031919 0.3596121453939435
1.3239204431360203 13.128280753027218 799.5666238713678 43.09616897646883 0.36448367951438726
1.3469369539079574 13.127477204514 724.1802662215177 44.77439319653411 0.3694763665794154
1.3698891960592865 13.125870012778183 656.3887898750322 46.511903209426336 0.3745258681159012
1.392811181814562 13.123649166713934 595.3972067372051 48.32066243175201 0.3797011917209444
1.4156364502700607 13.120586349596238 540.4998017403184 50.20491631562242 0.38501197286970373
1.43839669003333 13.116811127463219 491.02436188316926 52.16371839393405 0.3904398798257145
1.4610511342752301 13.11218226839319 446.434564276639 54.1997427374432 0.39598378541416246
1.4817995994486088 13.10626156386232 408.95039158404916 56.43004563975986 0.6416375540518436
1.489356555453672 13.091082139527105 392.4280948230985 59.39423671941295 1.1820414180502
1.4866963059513973 13.063973903799923 388.84139402854214 63.16045956861939 1.689458409294577
1.477803692101353 13.026526309286483 392.0440590732324 67.78348155338057 2.1576067559668437
1.4647197821466797 12.979861859908286 399.41304491892816 73.25207005291195 2.6137254048517073
1.4486957701374124 12.925948682000985 409.7522092962484 79.60357634877649 3.127630085116425
1.4306288463958805 12.867329111089449 422.69174436535866 86.94376370097827 3.7484964547997293
1.4093276368736871 12.79733948738093 438.6126566198718 95.07612170138803 3.829390213216421
1.385568073713211 12.712891642350664 455.45620619511385 103.50886920422252 3.8655014712013287
1.3607301941312757 12.615885918000071 471.47859955877567 112.26241557264403 3.8995397515186716
1.3358324503066368 12.508216171035425 485.1070321720317 121.34465306263978 3.9344707595503907
1.3112958366849203 12.391046312165049 495.61485797867203 130.7686609851294 3.970595649600302
1.2876153502384782 12.265523461620766 502.13298164428704 140.54877834384644 4.007984248905449
1.2650798408202457 12.132728382498557 504.1503640625295 150.70065517422032 4.0466792715625886
1.2438850036948497 11.993601450101673 501.3229385965093 161.2417837445257 4.0867360814405
1.2242470460744328 11.849103643763323 493.47919572069947 172.1911421666162 4.128223941616449
1.206255912229222 11.700274420347727 480.8909650901666 183.56883101419862 4.171197532499283
1.1899736356369355 11.548002817622047 463.89956251058237 195.39715860392687 4.215733443315396
1.1755002111274524 11.393271693625232 442.96900559370954 207.6995694066215 4.261909982112273
1.1628369036907973 11.23724047631157 418.8704285399642 220.50141280519713 4.309799851694141
1.1519392512819013 11.080525592346632 392.4220923679718 233.83040464235947 4.359506570121437
1.1427441716162663 10.924019492241957 364.5189035205227 247.67922065333113 4.410954051451528
1.1352937048951033 10.768937404111606 335.82846829819806 262.09758822557825 4.464340748174146
1.1294066195063177 10.615452376514032 307.15491498992014 277.13181245819516 4.519803649984796
1.1250473480001975 10.464603415251256 279.11828860648774 292.8176366907111 4.577469771757732
1.1220847336549238 10.316820316633656 252.2397902469582 309.19450197747335 4.637459500290136
1.1204414080758045 10.17240477955136 226.80115185355172 326.3039807499115 4.699902059265267
1.1199615041638042 10.031995153273781 203.1475464903415 344.1259441980521 4.764680104423163
1.120564181996813 9.895572038789272 181.36251278838415 362.74703577461696 4.832096451675534
1.12211054145507 9.763366341659074 161.5305662004164 382.23998048528927 4.902402999673044
1.1245061083989785 9.635533486271875 143.60406515958437 402.6503778680759 4.97572482028415
1.1276190054111386 9.51206542956417 127.50504351681374 423.94875707553905 5.051889932973738
1.1313502921274357 9.392901177681868 113.1617021238843 446.2926626891464 5.131475164730238
1.1355942995191075 9.278132312780706 100.44832950938452 469.7175977144002 5.214554490109223
1.140276367626301 9.167411383220449 89.17606184030781 494.2396797319435 5.301121631647312
1.1452715596006482 9.060738562871734 79.24248291743345 520.0257123165413 5.391769578166818
1.150530242010531 8.958018702442004 70.50059085148898 547.0332991170663 5.486237112814713
1.155945619630284 8.858706458102658 62.7976386663408 575.4700997627843 5.585275308335501
1.161442115009172 8.763106629918415 56.051738944245315 605.3107996669276 5.6886564218947875
1.1669655497342564 8.67066321396588 50.11096620923379 636.7630359921634 5.797134723060998
1.1724529368008223 8.581394834541923 44.90883889055277 669.8317060558043 5.910573025403461
1.1778268166917396 8.494886305642693 40.328562786236276 704.7027293990462 6.029592769033422
1.1830546874941914 8.411375578911585 36.312821822385665 741.4996976173614 6.154551345574876
1.1880619301788677 8.330135547829999 32.76168017800486 780.2882319263734 6.285518976794932
1.1928284583438855 8.251386387291713 29.641768286321064 821.2831633719695 6.423195196325709
1.1972973076656388 8.174640304331367 26.882410115245495 864.6369607621223 6.567981074656099
1.2014320056566894 8.099968261423209 24.449445251133337 910.5181976327017 6.720325605243661
1.205188848240921 8.027117224496996 22.253496463262646 959.1045164891063 6.880687518649124
1.208547476652007 7.956074830625454 20.388922924335866 1010.6038616037928 7.049619234186044
1.21147916907648 7.886422847212734 18.691867942069678 1065.2601815501264 7.227797856043589
1.2139391656082508 7.818251307472578 17.157746089308993 1123.3234938332862 7.415881126967417
1.2159349336586478 7.751471205145701 15.822522287533245 1185.0695474724582 7.614588615595738
1.2174221004472336 7.685846906322019 14.651203333324252 1250.7973380493772 7.824679357538923
1.2183722343933077 7.621365205399892 13.585625155409582 1320.825913916933 8.046944055093814
1.2188093153197874 7.55796149231311 12.635472263886836 1395.5421647026396 8.282415810945961
