M[M_sun], R[km], Lambda[1], P_c[MeV/fm^3], rho_c[fm^-3]
0.24162668629717493 15.618656898711224 2160425.4255784233 3.5677272577965504 0.1711233750220791
0.2536419287033333 15.277374052002948 1723177.6761279604 3.784802485293032 0.17388795965173448
0.26603791375978214 14.981284371952295 1383057.631720065 4.011365495212283 0.17666622621302966
0.27881143998653873 14.723603384937997 1116437.1487594342 4.24767291187988 0.17945687279024536
0.29196485879813505 14.498481126759922 905923.8880266986 4.494349631510257 0.1822664603855459
0.30549956931213235 14.301275378227341 738729.372287764 4.751549561068144 0.18509066201669191
0.3194143415179202 14.128229032171037 605161.5452556396 5.019957771665909 0.18793615771308916
0.3337108377448622 13.976063510939706 497732.066715574 5.299794460795488 0.19079949511019342
0.3483908219726257 13.842111579434967 411050.5506482095 5.591792692721674 0.1936870610016629
0.36345160683687777 13.724075670287773 340688.6500786226 5.896114120311103 0.19659381456028968
0.37890424063837597 13.620069602370576 283352.91459686676 6.213625115682998 0.1995274848772937
0.3947341577863774 13.528543169283857 236449.5353292969 6.54458698015298 0.2024843196055489
0.4109573982459391 13.447971827470763 197904.40951220517 6.889694319833725 0.2054678984935849
0.4275642928945948 13.377125400514359 166115.05631970064 7.2496555869812624 0.20848135745988156
0.44455786492163457 13.314983466111697 139828.69912875612 7.624735379127209 0.2115203335338575
0.4619364956070983 13.260656726965957 118009.55848681061 8.015871407981892 0.21459081467105548
0.4796988981288529 13.213217016858998 99836.97326190541 8.423773671831169 0.21769453123142526
0.49785366279905763 13.172045068295635 84663.61557281314 8.848890726964775 0.22082906306507974
0.5163898011054584 13.13645431417253 71956.97231891872 9.29208042841274 0.22399760062177604
0.5353067928556015 13.105890828579028 61293.03221961909 9.754234544729696 0.22720316772299606
0.5546107379717892 13.079846786764913 52313.38566087895 10.236162374073926 0.23044711483975014
0.5742909847454187 13.057887633372612 44744.13706479006 10.73834573356152 0.23372627540616112
0.5943447092779947 13.039556159358863 38337.07931205914 11.262007925780122 0.23704657009946956
0.6147792134313732 13.024530453695617 32912.150875050655 11.808096286323448 0.24040974315830888
0.6355782886483855 13.012467913120002 28302.986838632205 12.377589450549804 0.24381742686916574
0.6567488047075241 13.003046686059418 24378.919461674428 12.971191065599431 0.24726773868481797
0.6782784103998276 12.995986486947519 21035.302509323894 13.590198433997957 0.25076513604667566
0.7001636804344463 12.991058345315505 18042.60851186441 14.23582274687534 0.2543124146496282
0.7223943958522591 12.987997564210387 15735.399646418487 14.909253209278939 0.25791155819156736
0.7449796265261686 12.986648464072676 13639.217482972223 15.611537761539479 0.2615626488006577
0.7678966527668856 12.986749906901347 11839.757187862497 16.343905690902474 0.2652672155683582
0.7911382005733459 12.988139723434681 10292.928816588841 17.10798994951919 0.2690301263698167
0.8147107685746426 12.990655316170994 8959.687355210677 17.905244946303924 0.27285381252916385
0.8385902194627747 12.994117398913197 7809.895486983215 18.73705673033216 0.27673954379837096
0.8627673200879342 12.998392227705358 6817.1934792376105 19.6047276540851 0.28068742792115475
