M[M_sun], R[km], Lambda[1], P_c[MeV/fm^3], rho_c[fm^-3]
0.24162668629717493 15.618656898711224 2160425.4255784233 3.5677272577965504 0.1711233750220791
0.2536450317034855 15.277268560199664 1723270.731897407 3.7848392433002003 0.1738884178225612
0.2660418513963653 14.981250482783219 1382911.390827792 4.011442768001534 0.17666716000908447
0.2788180111461978 14.723457764557024 1116385.5733982555 4.2477933138356 0.17945826927148983
0.29197373237927204 14.498332928532731 905801.48430324 4.494516322201025 0.18226831652507447
0.3055110815738078 14.301123140262888 738617.5558689907 4.751768200562226 0.18509302374050776
0.31942829764584024 14.12807007622807 605005.1624827499 5.020229970648471 0.1879389818825924
0.3337262313228503 13.97593602937522 497648.93269735255 5.3001273856830275 0.19080284711138867
0.34841049375884087 13.841947364865618 410957.3239056259 5.592187174879101 0.19369087772505433
0.3634751842777062 13.723895435498335 340636.9783169645 5.896579022511242 0.19659818102013718
0.37892831322074 13.619961552962074 283259.6452595534 6.214166064072374 0.19953241767526056
0.39476375963488414 13.528378627032227 236371.7859594668 6.54520341322194 0.20248972489080339
0.410990190999941 13.447796475115275 197834.70810410933 6.890398138005119 0.2054738925044783
0.427601067711131 13.376987896433027 166053.1037887691 7.250453394986925 0.20848795752105173
0.4445963359467929 13.314884268571188 139774.66149654659 7.6256249720319405 0.21152741526538552
0.46198019658984535 13.260533060575584 117960.03071988343 8.016868302682665 0.2145985264575207
0.47974696374634934 13.213093835710467 99791.4858028231 8.424885642177271 0.21770289169392193
0.497906366266161 13.171951469273019 84625.13953123965 8.850113673051535 0.22083791771727254
0.5164459031389584 13.136356218508476 71923.84788178587 9.293434141664378 0.22400713084746177
0.5353669831909088 13.105803105916456 61262.70505030466 9.75572820392496 0.2272133941044867
0.5546748147231377 13.07977819252776 52291.58094184461 10.237804666710593 0.23045804536564124
0.5743602025376425 13.057806172006545 44718.68196255615 10.740131617442245 0.23373774133387296
0.5944186975964124 13.039498565977818 38319.097924392176 11.263963209460796 0.2370587867472898
0.6148584217548715 13.02447491413079 32891.90871921435 11.810232521001774 0.24042273502938194
0.6356648161587994 13.01243409315011 28283.901078006285 12.379918908086745 0.24383121976009464
0.6568376846842486 13.003018677312507 24364.15047593629 12.973703048736557 0.2472820961503426
0.678371453629539 12.995968214699175 21021.507726063097 13.592928614117735 0.2507803369581236
0.7002622117560728 12.991059512110835 18166.997206212356 14.238785763165984 0.25432848915761497
0.7224991687552058 12.98800058463564 15724.08044099812 14.912464641541138 0.25792853824449613
0.7450894100678118 12.986652763036682 13629.647860509085 15.614982856244472 0.261580257839568
0.7680119472372553 12.986765837727583 11832.509416767794 16.34763110270896 0.265285785811848
0.791258449341897 12.988156610338605 10286.57826015187 17.112014376029425 0.26904969579315086
0.81483724471983 12.990676703218295 8953.314785690929 17.909588324770315 0.27287442154942043
0.8387217972558242 12.994142028135679 7805.105936626611 18.74169979596948 0.2767608762825878
0.8629050589484714 12.9984209851656 6811.7509201169205 19.609730779161715 0.28070987378806767
0.8873889927597637 13.00337616744586 5953.272092836417 20.51574999131596 0.28472761349267733
0.9121488077043717 13.008859024399722 5209.312998870368 21.461552354624953 0.2888171103223757
0.93716961441783 13.014755070450834 4563.361232636468 22.448598361963608 0.29297809306858674
0.962454742504367 13.020968866853297 4002.9689746153617 23.47896161312356 0.2972147447058014
0.9879789012304527 13.02734918381919 3515.074575006127 24.55504249519885 0.301532980187236
1.0137229577843108 13.033815149043003 3090.570788304907 25.678755112699395 0.3059342183918746
1.0396898383374256 13.040268918789502 2720.3415264047494 26.852118398317472 0.31042014291946685
1.0658436931318396 13.046592919549873 2397.196227496951 28.07820290603326 0.31499928436296
1.0921796591757749 13.052725354601304 2114.7993975315094 29.359029465849687 0.3196718496046421
1.1186790935057664 13.058555281978924 1867.6228010785205 30.69742388209753 0.3244429998654694
1.1453123981647282 13.06401233433906 1651.3593513474123 32.09671538247409 0.3293203123692758
1.172078159315241 13.069022611895587 1461.3574213197126 33.55892079265898 0.33430197352953556
