M[M_sun], R[km], Lambda[1], P_c[MeV/fm^3], rho_c[fm^-3]
0.24162668629717493 15.618656898711224 2160425.4255784233 3.5677272577965504 0.1711233750220791
0.25364431740577337 15.27725255805633 1723090.974772832 3.784826128872904 0.17388825435755156
0.26604069321011903 14.981246276706996 1382924.2034764804 4.011415198692267 0.17666682685025226
0.2788159449757977 14.723474100017492 1116384.6263132885 4.247750356761119 0.17945777103416077
0.29197160951566636 14.498355671345651 905831.2536088283 4.494456849958668 0.18226765428785305
0.30550637381327933 14.301208555162333 738606.9793610971 4.751690193590577 0.1850921811163354
0.3194237505986711 14.128111222768718 605089.0584842755 5.020132854144724 0.18793797426138248
0.3337227958914099 13.975926281333598 497664.33028488565 5.300008602599715 0.19080165116283648
0.348403422634989 13.84200721504457 410994.2056080017 5.592046428455816 0.19368951596469106
0.3634657351070819 13.723977009377156 340635.89143984043 5.8964131504070085 0.19659662311423193
0.37891969473987347 13.61998951723987 283296.00503072096 6.213973058733829 0.19953065769896658
0.39475223523571634 13.528447252495361 236386.64448504758 6.544983474850466 0.20248779632840774
0.4109783295591021 13.447873256129277 197862.0007830119 6.89014702034576 0.20547175388111377
0.42758601038338956 13.377053488780543 166076.75951523555 7.250168741268019 0.2084856026537857
0.4445829045445626 13.314919350270683 139795.74901568165 7.625307568833906 0.21152488853183957
0.4619644178734306 13.260571505922485 117976.37276585579 8.016512613268436 0.2145957749123391
0.47972936196508964 13.213139267845463 99805.38853237526 8.424488892560586 0.21769990869145026
0.4978874879985931 13.171998388351215 84638.06404558971 8.849677325967368 0.22083475837794642
0.5164257051762997 13.136395318000941 71934.13243376024 9.292951135045532 0.22400373045075314
0.5353452140462007 13.105838696648373 61272.22603579851 9.755195262414013 0.2272097453048004
0.5546523942843348 13.079794256856061 52301.71088998955 10.237219364939016 0.23045415398657815
0.5743353357581693 13.057844109323883 44728.64105599945 10.73949440496508 0.23373365023238585
0.5943930572724273 13.039529759860299 38323.13559013147 11.263265551682805 0.2370544277688679
0.6148299754635229 13.024496699546184 32898.82721985143 11.809470295920965 0.24041809942914616
0.635635394601235 13.012425537528706 28289.88942896758 12.379087736515608 0.24382629833154654
0.6568062219982902 13.003032327470667 24369.725157902747 12.972806747584148 0.24727697326050102
0.6783385097324132 12.9959789758533 21026.53650068563 13.591954454470184 0.250774913098199
0.7002274037927346 12.99106031191012 18171.018382190643 14.237728520996033 0.25432275356724426
0.7224579584934171 12.988025894853006 15728.27083606317 14.911318757137044 0.2579224795217073
0.745050221151136 12.98665435158264 13633.081561385026 15.61375359402196 0.2615739746664884
0.7679709020217426 12.986758273273745 11835.110069704277 16.346301814166818 0.2652791596418625
0.791217109401576 12.988135348843565 10287.998663717464 17.110578388773998 0.2690427130733938
0.8147921142281321 12.990661437605247 8955.674409379108 17.908038523996055 0.27286706785556264
0.8386737979695742 12.99414067193619 7806.592741326724 18.74004305602621 0.2767532644197687
0.862855227090948 12.998413239510137 6813.540071017857 19.607945556037237 0.2807018646177894
0.8873368543859471 13.003356033254875 5954.83161503126 20.513827691502232 0.2847191896768363
0.9120952011180888 13.008849565801434 5210.78447880579 21.4594837960972 0.2888082533537875
0.9371141591112702 13.014740896455956 4564.748084704771 22.446392162178135 0.29296892977069755
0.9623985687035662 13.020948558902713 4004.1674532875263 23.476590082617836 0.29720511321576726
0.9879198718933431 13.027338181392324 3516.270614693065 24.552494469721097 0.3015228580916174
1.0136625741343421 13.033791104202967 3091.5322629616094 25.676040456101177 0.30592374200924877
1.039626874294062 13.040253952117572 2721.1507704711025 26.849203919336524 0.3104091325426857
1.0657785407117621 13.04657556262653 2397.92917556797 28.07507496002246 0.31498771273053083
1.092109594906443 13.052709641189956 2115.5247270654163 29.355699139798116 0.31965986247568706
1.1186093119692393 13.058539466617283 1868.4094674037988 30.693851410258464 0.32443039773956667
1.1452407902783703 13.063997641699881 1651.9235451146315 32.092912425771225 0.3293072457846209
1.1720042355338762 13.069012851120432 1461.8975983070575 33.5548427370754 0.33428823006175373
1.1988606350096938 13.073463084557938 1295.272352941707 35.08417584931162 0.33938685666631135
1.2258073060382484 13.077338026543654 1148.9316395444173 36.682923693297425 0.34459981716631227
1.2528035994122244 13.080499922310725 1020.0405218945733 38.356150326912264 0.34994162088937375
1.2798475196396233 13.082931693851949 906.6217844642796 40.10610716936137 0.35540891338635966
1.3068907837239045 13.08452707716648 806.6477960950341 41.938244601062344 0.36101613154956064
1.333922971364514 13.08524070663488 718.4424389350082 43.85606589946824 0.36676531422364156
1.3609367130485068 13.08503160887327 640.5483999409165 45.8642431711979 0.37266412331842913
1.3878669606004579 13.083773671796775 571.7363415465234 47.96811828640165 0.3787225630499712
1.414724841117317 13.081479940283847 510.7679744420363 50.17245711912832 0.384946330461938
1.441448631138448 13.078027044561034 456.8225827873437 52.48246275310521 0.39134230886398663
1.4680428598032698 13.07342841924785 408.9568261159188 54.904560160194 0.3979222338982044
1.4944524929806207 13.067563285173629 366.47643610245586 57.44493952489726 0.40469516711884695
1.5206649014971476 13.060416615744225 328.80004332156057 60.1102291691695 0.41167088021117026
1.5466484388328696 13.05192970381167 295.25778410964716 62.9075349944755 0.4188599134625123
1.5723650346775688 13.042046919632558 265.43075482086243 65.84448370022145 0.4262736390072583
1.5977889021896603 13.030719093405983 238.89097817799106 68.92927016194042 0.43392432940448245
1.622875537712736 13.017893714909622 215.20209816181173 72.17070940026301 0.4418252321754634
1.6476275046538942 13.003553919075097 194.06983571533436 75.57829362575075 0.4499906510041041
1.671977666935101 12.987620349223842 175.20545927442026 79.16193640112655 0.4584347043429488
1.6959145929836041 12.970067489869317 158.347307016937 82.93187941545577 0.4671708715577932
1.7193941655132987 12.950856652073659 143.25896129420696 86.90083714615182 0.47622060238474867
1.7423774868784525 12.929918008414324 129.76629857452394 91.08036790658008 0.48559815864987793
1.7648589833793131 12.907266953525918 117.66325595046709 95.4846029851336 0.49532562445468964
1.7867859353651203 12.882827241320935 106.81139270261264 100.12717141525593 0.5054203646489694
1.808123813063764 12.856569584672942 97.07304689019792 105.02462039269842 0.5159081624221787
1.8288336266880483 12.828434214187038 88.31727291257374 110.19349272804293 0.5268115576487613
1.84891302713774 12.798466330239917 80.45268473733857 115.65145118556266 0.5381540361984671
1.8682891225628526 12.76652622990086 73.37707397569736 121.41864990970872 0.5499647233790806
1.8869679415725744 12.732703940298185 66.99983694254023 127.51652711747371 0.562273471925757
1.9048915667535364 12.696887367562827 61.248860520700056 133.9675360332433 0.5751096201521065
1.9220324668367352 12.65906989054255 56.067946445899636 140.7973775497612 0.5885095210061609
1.9383453972986608 12.619181661013032 51.38492845260021 148.03372409149816 0.6025114151861064
1.9538414691572479 12.577334882190101 47.15429395210985 155.70505739376034 0.6171510015662792
1.9684572827655569 12.53340313603793 43.33363643136402 163.84504597757086 0.6324759477062786
1.9821722181789265 12.487402634040098 39.8744621973069 172.48749802443393 0.6485279236068778
1.9949625650869964 12.439325063980663 36.741733324521405 181.6716503626891 0.665359909122428
2.0067982153410964 12.389163888398349 33.89905216468785 191.4395400327994 0.6830264271005541
2.0176443534467094 12.33688875799431 31.324578493941882 201.83720674717134 0.7015867182553956
2.027479760604282 12.28250241076266 28.989129524812302 212.91456913914888 0.7211033449551417
2.036289320294638 12.226037893588833 26.86680299198749 224.7271918097583 0.741646879463145
2.0440331781388803 12.167439359275022 24.93891084891012 237.3361721330332 0.7632942220130302
2.050692614690337 12.106731645876694 23.184949026676097 250.8084212442609 0.7861280974998728
2.056265049386947 12.043983839291496 21.590687503090443 265.2171130994936 0.8102368861582091
2.060711237565983 11.979134084978808 20.139979602135906 280.6438262859535 0.8357197287526399
2.064015845819916 11.912237255133238 18.8193465111789 297.17846901537285 0.8626841475339533
2.0661768872493704 11.843334487179483 17.6165422273363 314.92139536259793 0.8912505204813531
2.0671689964668025 11.772442022782911 16.52142667226125 333.9819659857609 0.921544520121537
