B^{1/4}[MeV], Delta[MeV], m_s[MeV], c[1], Phase_transition[bool] 
679.0057229713574 423.03680801680713 116.60375966485176 0.9705754954212096 0
730.5312107466351 84.50786581904318 89.9640109965049 0.14165550612710687 0
865.6423811681344 409.1257410267773 97.19418312532574 0.6635848710311733 0
697.6251644297046 208.35378279624751 104.77894751944908 0.40215628086885924 0
823.5899605180365 97.53063191158859 101.2144845740089 0.16393154160073686 0
414.24830349064086 372.56017734418987 103.37169111150367 0.7503398223268575 0
448.43310946478994 291.0293293676186 88.51575069495509 0.32693871622768966 0
442.4018207504403 273.1985419352699 102.50824343036307 0.4796931920876919 0
860.4086277593893 438.74308420332824 119.86219875724564 0.31372327181082316 0
506.44815615656955 273.4339830430562 81.1400816395113 0.9203006872804347 0
851.6267403333594 469.99072545417846 86.43442209059191 0.9431097146385824 0
298.9303339701894 40.158052421466124 100.90546957041131 0.6032293630240064 0
847.4030561812457 535.1272235472883 117.02617518876926 0.30755528714027536 0
380.72426198411995 475.09965702458123 108.48760716945574 0.39457184653142685 1
435.3371344914158 416.55204679249795 87.79987713029 0.6726656805735458 0
167.69090220809517 31.869465011599008 96.02307198630697 0.4034050187743502 1
253.8348942134346 72.60816586709724 106.79676170213946 0.5126637027954389 0
782.036587338886 231.9139570921349 105.44019912479513 0.22438978840614754 0
603.5390556107046 515.9577831615202 83.24060590810886 0.5055912293479953 0
351.51966124111493 104.82988300712306 82.45946441450918 0.7231917311592434 0
479.8714801047814 415.21590276964037 88.97824767290514 0.7885018900508515 0
628.1575279072745 335.90703756230755 90.79335871737965 0.6137996317142632 0
827.489360024314 179.4455064452021 103.3218930106729 0.8617553013448955 0
896.960935439814 88.83905175563687 81.14419075511366 0.3827656716271496 0
600.7331063399047 218.08716380511572 119.84885899059705 0.7224633771878041 0
836.8439160854952 311.21728512223285 110.37913737508751 0.8046657344104511 0
791.2950720507326 483.2192298566484 102.23977099355044 0.5837697812208704 0
879.983671079993 521.9582295699763 114.21348236953969 0.6991997982932223 0
