M[M_sun], R[km], Lambda[1], P_c[MeV/fm^3], rho_c[fm^-3]
0.24162668629717493 15.618656898711224 2160425.4255784233 3.5677272577965504 0.1711233750220791
0.2536373231069808 15.277462226066048 1723305.329728821 3.7847125020685133 0.1738868380542502
0.2660268134104737 14.98157629879259 1383387.638228038 4.011176336710486 0.17666394034416913
0.278796199144457 14.72385639272891 1116709.3495808144 4.247378182892264 0.17945345437813612
0.2919434360204442 14.498824939564445 906308.1607980859 4.493941602590793 0.1822619168888291
0.3054731980997377 14.301612261147847 738978.041887549 4.751014382929695 0.18508488107139384
0.319379621754343 14.128625267755215 605398.7926320183 5.0192915067624035 0.18792924495756066
0.3336686004910697 13.976474542400203 498096.72088125674 5.298979574337938 0.19079129055570707
0.3483424196394705 13.842511047741153 411288.1665329754 5.5908271549855435 0.19367771915845558
0.36339621274475015 13.724477796798995 340928.52427579905 5.894976246484972 0.19658312740851488
0.3788408372718844 13.620470920545603 283559.913655953 6.212301142993147 0.19951541184052915
0.3946620518569097 13.528930455895956 236639.18988773783 6.543078288042561 0.20247109041388373
0.4108780615691738 13.448307985216626 198064.85644906788 6.887971792836272 0.20545322873084418
0.4274745381051197 13.377477092904604 164262.9007734349 7.2477030697370095 0.20846520478510716
0.4444600599423301 13.315316652901151 139972.89936026398 7.622558272627921 0.21150300236624828
0.46182962079571677 13.260946808625365 118130.41965471578 8.013431751232693 0.21457194195372264
0.4795816126751378 13.213514980185545 99943.62359344546 8.421052451157081 0.21767407145615286
0.4977271055578936 13.172305875252578 84757.21956817973 8.845897979567633 0.22080739429522184
0.5162527218707256 13.136692178443495 72042.33038245999 9.288767739418013 0.22397427908473108
0.5351572705519201 13.106112978791389 61366.03655572759 9.750579465768308 0.22717814311768036
0.554451673771313 13.080067956354196 52385.01317389978 10.232141093276388 0.23042033467834525
0.5741184162824668 13.05806459095997 44801.414695234474 10.733975725196535 0.23369821859879872
0.594166704701854 13.039716012287546 38057.502865714116 11.257223495936499 0.23701667689522612
0.6145865701297197 13.024657113953854 32958.74558008489 11.80286918702337 0.24037795367334178
0.6353728382558153 13.012571704996802 28345.281979442723 12.371889672183443 0.24378367805851806
0.6565270074392893 13.003103637835212 24418.7352040176 12.965044781383288 0.24723260904464095
0.6780486567347166 12.99606139611669 21068.784589761002 13.583518400515626 0.2507279434099341
0.6999214386986943 12.99110398299308 18208.024422164515 14.228573167802265 0.25427308532934095
0.7221393805412019 12.988036251880365 15760.746515649753 14.9013959891817 0.25787001410711174
0.7447104381201671 12.986665797981708 13661.485120202648 15.60310899154439 0.26151956651946695
0.7676154656124272 12.98674204538377 11860.500032201655 16.33479127748081 0.26522178250342504
0.7908445596656895 12.988109916463836 10310.839693090926 17.098144176674005 0.26898224971052903
0.8144020155926949 12.990619499221953 8976.433288030823 17.894619068262134 0.27280339349764227
0.8382677946199842 12.994060662292522 7824.593516250224 18.725697866307556 0.27668735569541203
0.8624333476861075 12.998312316425574 6830.153886545603 19.592488180599037 0.28063251712265475
0.886888523293995 13.003259505985566 5969.444569060655 20.49718377119072 0.28464625343735056
0.9116312140107177 13.008755110951322 5223.437927036915 21.441573881370775 0.28873156828540725
0.9366361148100507 13.01463174056016 4576.531660876389 22.427290841058642 0.2928895937574102
0.9618967689225184 13.02081572838997 4014.3189360825304 23.45605774514944 0.2971217252925562
0.9874054737156521 13.027207980975824 3525.3139929441704 24.53043452160091 0.3014352243900849
1.0131335264606416 13.033663311926004 3099.718577750634 25.652538264177064 0.30583304252434695
1.039077571820206 13.040115374925412 2728.4716858301053 26.82397228910232 0.3103138119871091
1.0652156832960153 13.046449126191074 2404.375926381265 28.047995845346858 0.3148875353104443
1.0915274988684414 13.052576550670246 2121.345614581581 29.326868482900817 0.31955608981297035
1.1180088522736054 13.058415944875696 1873.6131917086498 30.662925160434018 0.3243213033893399
1.1446235538670824 13.06387540607211 1656.6229062622224 32.05986183130404 0.329193293884424
1.1713712847145024 13.068902179388477 1466.1459235030466 33.519541130531586 0.3341692600079531
1.1982158844476012 13.07337542920629 1299.0026482214269 35.04632705429757 0.3392617009620314
1.2251428875480948 13.077250495471187 1152.295544738772 36.64263750183845 0.344469860148834
1.2521237242250498 13.080430464725778 1023.0790237534576 38.312984255509036 0.3498049363528035
1.27915231106572 13.082886261040372 909.4567657438248 40.06013215905083 0.3552666820637174
1.3061820700125668 13.084493129344153 809.1850086498667 41.88929150298194 0.3608681389177017
1.3332049008630003 13.085224787577879 720.7095498703186 43.80358616138895 0.366609317301548
1.360202260792174 13.085048677855895 642.6017585765966 45.80834670643525 0.3725015839918602
1.387122290531752 13.08382495840184 573.4922045501476 47.90856647179258 0.3785530593618498
1.41395839834558 13.08154276797445 512.4203702175644 50.108597318135445 0.3847673882620604
1.4406880210791804 13.078160016871081 458.2792080370004 52.414396292241854 0.3911554238647549
1.4672625598386697 13.07356994118611 410.2980397852593 54.831985816554436 0.39772687681733776
1.4936696844943438 13.067751273471334 367.68387588476384 57.36753168437684 0.4044907677719029
1.519872333846367 13.060657859742692 329.870486949738 60.02763564347713 0.4114568241540736
1.5458516471436141 13.052211030275206 296.2299044293316 62.81937462040605 0.418635538301445
1.57156325954213 13.042377574461662 266.32102974780383 65.75034369695165 0.426038230340241
1.5969850369043945 13.03108813987006 239.57725242873195 68.82870321915895 0.4336771163547734
1.6220723354722322 13.018328273562469 215.92312866323118 72.06323046660815 0.4415653824721583
1.6468210583345502 13.004049613997893 194.73020904146207 75.4633763632433 0.44971726555994446
1.6711750543727744 12.988180445809503 175.80950976567257 79.03932777177698 0.4581481413179088
1.695098931070778 12.970675648261572 158.89014270341335 82.80094895729418 0.4668699937462692
1.7185945489138403 12.951547028247289 143.7534607597352 86.76063017932016 0.4759031025880151
1.741595446091008 12.930696348203675 130.2174721511173 90.93082605422268 0.48526548307275985
1.7640759446756853 12.908111404305137 118.07166371531096 95.32428664837208 0.49497385461493637
1.786007428909809 12.883741569153592 107.18689958643668 99.95594103261901 0.5050508569118588
1.807343706263147 12.857534543539447 97.41035280498853 104.84158861648926 0.515519494061749
1.8280881646399731 12.829532427950832 88.62830142207243 109.99704845966103 0.5263997949949232
1.8481725384270833 12.799624011953147 80.73506300409645 115.44102510436639 0.5377193685271738
1.8675743965194629 12.76780445784814 73.63290872565325 121.19321610025881 0.5495058227553155
1.8862632197689813 12.734047647936983 67.23273919131408 127.27483570818883 0.5617884225551593
1.9041942129680751 12.698288276286911 61.4652496553107 133.70900667159486 0.5745991184591629
1.9213589989097397 12.660574342943198 56.264585589856 140.51976284366933 0.5879686219871568
1.9377068238764863 12.620811079556347 51.563308634674925 147.73530850719098 0.6019373979625904
1.9532231488154634 12.579049317193206 47.32463471878845 155.38499835816907 0.6165444576554727
1.9678802402947486 12.535267013205655 43.485486893143985 163.50059650859544 0.6318312854951618
1.9816240108204866 12.48936707955403 40.01181517676834 172.11711430350093 0.6478440505630932
1.99445586933037 12.441432466089573 36.86576096952971 181.27318173502923 0.6646340929920652
2.0063075544601165 12.391332188946013 34.016326473771954 191.01040089483652 0.6822549585254882
2.017191531390923 12.339179230185295 31.43183345423612 201.37454500377515 0.7007655392986851
2.027067285144941 12.284912784644451 29.086034576237047 212.4160212621363 0.720230585334463
2.0359227882613244 12.228574169399435 26.957245959621698 224.18890984333052 0.7407164462694985
2.043709774503449 12.170104005000868 25.02086192948826 236.75498319656748 0.7623029728450199
2.050415374379337 12.109524715469918 23.261965841010696 250.1793453935798 0.7850678199222141
2.056028578905777 12.046876685293814 21.65975135603443 264.5362961750281 0.8091039672412689
2.06052484374499 11.98215935747258 20.20537940459598 279.9065914650807 0.8345089323120601
2.0638870922503743 11.915408973994111 18.878295143055272 296.3796920823927 0.861389985776784
2.0661002584662738 11.846634983929874 17.671222723502456 314.05370876978486 0.8898615249070775
2.0671471779289687 11.775873153353874 16.57170459997086 333.0396515982664 0.9200562098180316
