M[M_sun], R[km], Lambda[1], P_c[MeV/fm^3]
0.2416277750616976 15.618515526848569 2160338.09801669 3.5677787854173952
0.25224032953045006 15.314091641546161 1768065.304518234 3.759405012921353
0.26314975852712674 15.04579581984444 1454133.8127108405 3.958355759443744
0.2743555607150891 14.808653834761138 1201424.4347476368 4.164967302716145
0.28586062697126846 14.598363348963458 996900.9856709826 4.379532280807602
0.2976611447906221 14.411623095954747 830364.9206379818 4.602204759787374
0.3097615652343116 14.24532957773712 694201.1353371684 4.833396014751798
0.3221588280631062 14.097117207694405 582417.9039060852 5.073403322939201
0.3348563717865898 13.964785872552012 490199.91785652883 5.322536754148348
0.34785380958591916 13.846624988232868 413890.67021892057 5.581045528205271
0.3611507968089975 13.740943322290065 350416.2911270482 5.849338950583007
0.37474937728257757 13.64649954279693 297524.69386896095 6.127777985673488
0.3886503158033493 13.56206519001615 253252.94214533543 6.41672928689528
0.402852486973677 13.486685484225802 216113.3104354128 6.716574915767381
0.4173575063116426 13.41936016180388 184832.97425000524 7.027712950085971
0.4321656821696661 13.359307958433925 158444.30006650536 7.350558122599638
0.44727565016087967 13.30590306723612 136098.44458281167 7.685542491822919
0.4626895694131431 13.258443781686731 117146.15898870814 8.033116146768938
0.47840555619088304 13.21639783444962 101042.83441750951 8.393747947550864
0.4944223398423596 13.179295242730777 87306.31239090412 8.767926304000566
0.5107405110948967 13.146654956804632 75565.3348290466 9.1561599946816
0.5273602713660176 13.118061859682781 65525.04396615479 9.558979028935985
0.5442795097172196 13.09318169987911 56905.16768456264 9.976935554898208
0.561496297751605 13.071646068704231 49499.561575045096 10.410604816741813
0.5790094588607253 13.053195600997322 43128.53748582274 10.860586164788606
0.5968170289292707 13.037539333957742 37629.022238196885 11.327504122516066
0.6149173903643244 13.02441488804763 32878.46102787664 11.812009514941465
0.6333074323094066 13.013621566880516 28765.766538082888 12.314780663343459
0.6519829074762069 13.004928927500876 25203.201720677844 12.836505765624148
0.6709445212394372 12.998126380262713 22110.017358935194 13.377864443927542
0.6901877730181714 12.993029148041504 19420.4999952756 13.939695320227987
0.7097046924494321 12.98951592619926 17078.092707271495 14.52280107851568
0.7294962744943275 12.987410069777647 15037.686506226428 15.128019211310853
0.7495538288934973 12.986536663544072 13255.978108932311 15.756223756119313
0.769875385092594 12.98679644004473 11698.893009793337 16.40832715000787
0.7904538131533488 12.988059850795038 10335.309400567472 17.08528221267088
0.8112836781512468 12.990210995748527 9141.149663421438 17.78808426925898
0.8323583247343904 12.993120238821335 8092.487635807452 18.517773425197813
0.8536723373379441 12.996688436522666 7172.6262637663895 19.275437006238313
0.8752193018888321 13.000826533539618 6363.135531495185 20.062212178058026
0.8969861903501976 13.005435583442395 5650.963771508084 20.879255485657104
0.9189707340552443 13.010418059558999 5022.91154672097 21.727828166603306
0.9411629664965862 13.015709209217684 4469.237196573085 22.60926693702793
0.9635519469940214 13.021215041255711 3980.5935198601983 23.52494160069427
0.9861302683404243 13.02686729768941 3548.283883401712 24.47628839039549
1.008887804111559 13.0325836767978 3165.9623094559734 25.46481404171444
1.0318059474756416 13.03832327574063 2827.004678131907 26.49210018349508
1.0548927337870935 13.043954664720072 2526.899968728316 27.559777623443907
1.0781191309701907 13.049479071881894 2260.7338863269956 28.66953183178132
1.1014795459139768 13.054802185576902 2024.1743003620954 29.82325010722487
1.1249602816626634 13.059869414086755 1814.052853996692 31.022860301125224
1.1485487967615535 13.06463361599028 1626.907627996504 32.270392589689216
1.1722312811701348 13.069032287851373 1460.437326790703 33.56798638296439
1.195993798830653 13.073005719336503 1306.0897172456914 34.9178977827548
1.2198210133235732 13.076517305196813 1179.7310456905582 36.3223944970359
1.2436991432582416 13.079503699203908 1061.672920692147 37.7837494558126
1.2676111556576553 13.081919599949185 956.1381962285602 39.30489739931973
1.2915413951393764 13.08371853390313 861.8550918691186 40.88864186172683
1.3154730821979257 13.084851891315171 777.5223395238737 42.537381564852325
1.33939003113287 13.08527000195434 701.9309623627967 44.254620629934685
1.3632742118077528 13.084945148880742 634.2451375064338 46.04352616376354
1.3871052029189814 13.083821026729728 573.5434214594999 47.907205644299886
1.4108714334347494 13.081858334768416 519.0593519592385 49.84969161365333
1.4345449853813899 13.079026460492946 470.1682366300298 51.87434134834174
1.4581115142964696 13.075278760115049 426.1631048395798 53.985467814784336
1.4815528899510502 13.070576063331867 386.62759631306193 56.187448861824166
1.5048452084145896 13.064879580953209 351.04535750057653 58.484184404033876
1.527969702737542 13.058158732599999 318.9955437127068 60.88101119565655
1.5509071893238353 13.050375795652373 290.1067501675211 63.382916357822424
1.5736341756369199 13.04149798457953 264.0558303630538 65.99520847147328
1.5961297485063541 13.031485099848938 240.53369590588227 68.72354357608637
1.6183667839564515 13.020300323486437 219.27911810347754 71.5739533783581
1.639595881262954 13.007812308198277 200.60547666470518 74.59175739873766
1.6567184415689649 12.991755107712333 185.97273783082437 77.95064186083084
1.6698809814233206 12.970260503107166 174.30480588725706 81.6799421494214
1.6796910292714797 12.942914079812446 164.7109348797543 85.78992800005778
1.686652672323188 12.909651136782228 156.5933752386888 90.29032026492094
1.6912105475823702 12.870656496908847 149.57076438323924 95.19283079527132
1.6937374938640712 12.826280419376422 143.35889063856692 100.51004337641858
1.6945247434448052 12.776659598214348 137.74174375043967 106.25583177035776
