M[M_sun], R[km], Lambda[1], P_c[MeV/fm^3]
0.2416277750616976 15.618515526848569 2160338.09801669 3.5677787854173952
0.25224176762105666 15.31407368443845 1767980.3533827274 3.7594343696268306
0.2631525092920219 15.045755005127011 1454108.2619387205 3.958416432861066
0.2743621537745081 14.80850492099638 1201290.0523543737 4.165062086869612
0.285867993953968 14.5982456975293 996759.609000871 4.379662780126687
0.2976699286054998 14.411492064789146 830315.579579599 4.602374508471722
0.3097709092187296 14.245245300352344 694076.9804702325 4.833607905771167
0.322171502630929 14.09697914763694 582337.6586784506 5.073660381960373
0.33487116418530244 13.964667646407863 490090.54634588584 5.322842146539077
0.3478724647877316 13.846449982486334 413791.1176840213 5.5813997727944695
0.361170797894528 13.740807658485162 350343.19731596275 5.849747892722897
0.3747734900000528 13.64632143074088 297459.3342168644 6.12824523341677
0.38867671386455527 13.561908385037484 253188.69530495701 6.417258620119115
0.402880347170516 13.48654956712076 216046.48342972435 6.717170295660554
0.4173881368487325 13.419206277550293 184757.02180185704 7.028378529244342
0.4321994297969221 13.359188913445665 158381.27096902527 7.351298255773526
0.4473129563463448 13.30579625144851 136045.3136192473 7.686361747362887
0.46272801031624095 13.258340980160915 117099.28126469099 8.034019318821246
0.47844756886570966 13.216299336064933 101002.73461842284 8.394740069056775
0.4944684549933057 13.179193632026578 87269.91977718187 8.769012660558843
0.510790206593765 13.146561202163827 75533.74723913384 9.157346139337548
0.5274128990934892 13.11799589651557 65494.038098479854 9.560270797965346
0.5443354542071186 13.093111831231797 56879.98029081885 9.978339084659341
0.5615551243215083 13.071586057971398 49476.297894537245 10.412126561674832
0.5790720092726712 13.053141469874303 42722.84279470889 10.862232916646589
0.5968843932543682 13.037498361936164 37609.94103864408 11.32928303091898
0.6149874663687234 13.024375972506121 32861.4681581365 11.813928109350732
0.633382605087239 13.013567973101077 28749.914853799077 12.316846876562343
0.6520631896476489 13.004885049703839 25189.631445415314 12.838743297881452
0.671028878685335 12.998080745971707 22097.38578162552 13.380267762709972
0.6902750188528622 12.99300822119728 19409.68999762822 13.942273767509294
0.7097961305470972 12.989499040089756 17068.731392976195 14.525564512803527
0.7295912986948582 12.987402011519285 15028.69983672813 15.130978040745992
0.7496535071883824 12.98653664241735 13247.531162410678 15.759388973930092
0.7699795333636875 12.986804457319133 11691.587669803115 16.41171037249779
0.7905627857653865 12.98807616226654 10259.786978120706 17.088895719930186
0.8113966394368588 12.990214931096489 9134.973294117159 17.79194104880817
0.8324760972292895 12.993139012603274 8087.199533327107 18.521887218786702
0.8537943564522785 12.996716568557025 7167.711653326326 19.279822360043546
0.8753441938122576 13.00084680523982 6319.901502419789 20.066884496542222
0.8971172950282885 13.005455468215517 5646.902181139353 20.88426198774716
0.9191078052794679 13.010452874582224 5019.440847385242 21.733156891251806
0.9413031600436147 13.015750891931123 4465.893030428247 22.614936296631804
0.9636970353992658 13.021254990923604 3977.68686260789 23.530971127448367
0.986279175286987 13.026902623916849 3545.490985886087 24.482698813506165
1.0090413834048293 13.032623940179693 3163.181023351577 25.47162737042371
1.0319653873436836 13.038359518513971 2824.852815826326 26.499339796388035
1.0550554269773593 13.043999451048164 2525.1107377781213 27.567424422344168
1.0782871819926103 13.049519181833615 2258.961618445041 28.677653970991493
1.1016522701980773 13.054837588454353 2022.617148408327 29.831875581735222
1.1251365130523705 13.059906954563017 1812.4081864547402 31.032018900866237
1.1487289712850217 13.064667966477916 1625.5720204167676 32.280116028613044
1.172416152978579 13.069060139367668 1459.2229645906293 33.57830843828816
1.1961825589371575 13.073042238687306 1310.975257701978 34.92885444524634
1.2200137860340396 13.076540401320084 1178.7793916604362 36.33396360974195
1.2438959748646117 13.079522568149422 1060.7703716703472 37.796029488186754
1.2678124718201902 13.081931238887993 955.3069236573473 39.31793186483698
1.2917463837071748 13.083726660943114 861.0842701558912 40.902477210546735
1.3156814580906795 13.084853372216687 776.7731447864048 42.55199537282249
1.3396020031110998 13.085270347677353 701.3022898178584 44.27013438274405
1.3634876181450248 13.08494039830544 633.6489309987836 46.05991839948758
1.3873237025957368 13.083807068288884 573.0342353814614 47.92461084060133
1.4110898154874243 13.081840061346394 518.5762829583038 49.86808979387251
1.4347673972766835 13.07899521824676 469.72896896149905 51.893881670304374
1.4583376239141799 13.075241877954449 425.7759357399888 54.00613242035001
1.4817798856603075 13.07052675623622 386.26081973898386 56.20935603012963
1.5050748821215771 13.064822046080215 350.71092960615925 58.507414218070906
1.5282021092102185 13.0580836333624 318.6968918632802 60.90559818972529
1.5511397832415332 13.050292177356294 289.8126816710813 63.40894855552651
1.5738671090085263 13.041400149383986 263.79865781268694 66.02278033692878
1.596365901710318 13.031371792054248 240.29900181518258 68.75275653545346
1.6186035348670795 13.020173640950473 219.05391596300845 71.60491638859277
1.6405783536218783 13.007801235520887 199.88056455160213 74.58570604364652
1.6622517827382908 12.994187889605351 182.53550890737847 77.70201187607783
1.6836039963873304 12.979321797224237 166.82563873411368 80.96119670456444
1.704615700219939 12.96316714099954 152.58813474638043 84.37113918350221
1.7252630138603635 12.94570023788993 139.69833290164246 87.93984029377934
1.745522826957116 12.926889382060757 128.0046852429778 91.67621793209184
1.7653722656842652 12.906708021949775 117.40123917113934 95.59000481062083
1.784790631284847 12.885134090631093 107.76210148648902 99.69085282942491
1.8037508098250494 12.862139504487374 98.99629668513127 103.98978064061374
1.8222345336126364 12.837697064738556 91.03517424033144 108.49845768058246
1.8402170179764672 12.811792525047244 83.7890084673273 113.2290967917391
1.8576739713021397 12.784397112547133 77.19640437024539 118.19485263846872
1.8745856396951766 12.755496412990635 71.17920389271417 123.40990505822454
1.8909272919204863 12.725062792329123 65.70009974962535 128.8895503728958
1.9066774720548494 12.693084448275263 60.696438819827236 134.6503015452215
1.9218152329543718 12.6595421559727 56.129819049140075 140.70999746313296
1.9363188737826689 12.624417934051182 51.95866251155033 147.08671619215784
1.950159115936799 12.587680884202813 48.14456310205181 153.8018705806116
