    319.4220000000      88.7578708674       1.1371179408     -73.9729387459     -75.8830028794
    319.4720000000      89.0495174885       1.1514776867     -73.9054723338     -75.8319741059
    319.5220000000      89.3391687455       1.1658825536     -73.8380230914     -75.7809233273
    319.5720000000      89.6275125746       1.1803461216     -73.7705547577     -75.7298505369
    319.6220000000      89.9145628628       1.1948681090     -73.7030673382     -75.6787557280
    319.6720000000      90.2003363642       1.2094483197     -73.6355606669     -75.6276388941
    319.7220000000      90.4848494532       1.2240865600     -73.5680345817     -75.5765000284
    319.7720000000      90.7681181491       1.2387826386     -73.5004889244     -75.5253391242
    319.8220000000      91.0501581284       1.2535363670     -73.4329235397     -75.4741561751
    319.8720000000      91.3309847339       1.2683475590     -73.3653382757     -75.4229511742
    319.9220000000      91.6106129859       1.2832160306     -73.2977329834     -75.3717241149
    319.9720000000      91.8890575900       1.2981416006     -73.2301075171     -75.3204749906
    320.0220000000      92.1663329474       1.3131240897     -73.1624617337     -75.2692037946
    320.0720000000      92.4424531633       1.3281633212     -73.0947954932     -75.2179105202
    320.1220000000      92.7174320553       1.3432591204     -73.0271086584     -75.1665951608
    320.1720000000      92.9912831616       1.3584113148     -72.9594010946     -75.1152577097
    320.2220000000      93.2640197489       1.3736197342     -72.8916726699     -75.0638981603
    320.2720000000      93.5356548201       1.3888842103     -72.8239232549     -75.0125165059
    320.3220000000      93.8062011213       1.4042045769     -72.7561527227     -74.9611127397
    320.3720000000      94.0756711487       1.4195806698     -72.6883609489     -74.9096868552
    320.4220000000      94.3440771562       1.4350123268     -72.6205478114     -74.8582388457
    320.4720000000      94.6114311614       1.4504993876     -72.5527131904     -74.8067687045
    320.5220000000      94.8777449514       1.4660416939     -72.4848569684     -74.7552764250
    320.5720000000      95.1430300907       1.4816390890     -72.4169790301     -74.7037620004
    320.6220000000      95.4072979249       1.4972914182     -72.3490792622     -74.6522254241
    320.6720000000      95.6705595878       1.5129985286     -72.2811575536     -74.6006666894
    320.7220000000      95.9328260065       1.5287602690     -72.2132137953     -74.5490857897
    320.7720000000      96.1941079072       1.5445764899     -72.1452478801     -74.4974827182
    320.8220000000      96.4544158197       1.5604470436     -72.0772597030     -74.4458574684
    320.8720000000      96.7137600824       1.5763717838     -72.0092491606     -74.3942100334
    320.9220000000      96.9721508480       1.5923505661     -71.9412161514     -74.3425404067
    320.9720000000      97.2295980873       1.6083832476     -71.8731605759     -74.2908485815
    321.0220000000      97.4861115942       1.6244696869     -71.8050823362     -74.2391345512
    321.0720000000      97.7417009895       1.6406097442     -71.7369813360     -74.1873983091
    321.1220000000      97.9963757260       1.6568032812     -71.6688574809     -74.1356398485
    321.1720000000      98.2501450922       1.6730501611     -71.6007106780     -74.0838591627
    321.2220000000      98.5030182159       1.6893502485     -71.5325408360     -74.0320562451
    321.2720000000      98.7550040687       1.7057034095     -71.4643478651     -73.9802310889
    321.3220000000      99.0061114694       1.7221095117     -71.3961316772     -73.9283836875
    321.3720000000      99.2563490877       1.7385684238     -71.3278921856     -73.8765140342
    321.4220000000      99.5057254477       1.7550800161     -71.2596293049     -73.8246221222
    321.4720000000      99.7542489313       1.7716441602     -71.1913429513     -73.7727079449
    321.5220000000     100.0019277818       1.7882607290     -71.1230330424     -73.7207714957
    321.5720000000     100.2487701062       1.8049295967     -71.0546994970     -73.6688127677
    321.6220000000     100.4947838799       1.8216506386     -70.9863422353     -73.6168317544
    321.6720000000     100.7399769481       1.8384237316     -70.9179611789     -73.5648284490
    321.7220000000     100.9843570296       1.8552487535     -70.8495562504     -73.5128028448
    321.7720000000     101.2279317197       1.8721255835     -70.7811273740     -73.4607549351
    321.8220000000     101.4707084924       1.8890541020     -70.7126744748     -73.4086847133
    321.8720000000     101.7126947039       1.9060341904     -70.6441974792     -73.3565921726
    321.9220000000     101.9538975944       1.9230657314     -70.5756963148     -73.3044773064
    321.9720000000     102.1943242911       1.9401486088     -70.5071709102     -73.2523401079
    322.0220000000     102.4339818107       1.9572827075     -70.4386211954     -73.2001805704
    322.0720000000     102.6728770617       1.9744679135     -70.3700471011     -73.1479986872
    322.1220000000     102.9110168464       1.9917041140     -70.3014485593     -73.0957944517
    322.1720000000     103.1484078639       2.0089911971     -70.2328255031     -73.0435678571
    322.2220000000     103.3850567117       2.0263290520     -70.1641778664     -72.9913188967
    322.2720000000     103.6209698880       2.0437175689     -70.0955055841     -72.9390475638
    322.3220000000     103.8561537939       2.0611566392     -70.0268085924     -72.8867538517
    322.3720000000     104.0906147353       2.0786461550     -69.9580868282     -72.8344377537
    322.4220000000     104.3243589253       2.0961860096     -69.8893402292     -72.7820992630
    322.4720000000     104.5573924851       2.1137760973     -69.8205687344     -72.7297383731
    322.5220000000     104.7897214473       2.1314163133     -69.7517722833     -72.6773550771
    322.5720000000     105.0213517563       2.1491065536     -69.6829508166     -72.6249493683
    322.6220000000     105.2522892713       2.1668467153     -69.6141042758     -72.5725212401
    322.6720000000     105.4825397673       2.1846366964     -69.5452326030     -72.5200706857
    322.7220000000     105.7121089366       2.2024763957     -69.4763357380     -72.4675976983
    322.7720000000     105.9401487573       2.2203702707     -69.4074709552     -72.4151022714
    322.8220000000     106.1662156373       2.2383206287     -69.3386687215     -72.3625843981
    322.8720000000     106.3912673171       2.2563223079     -69.2698649756     -72.3100440718
    322.9220000000     106.6152765298       2.2743755374     -69.2010619373     -72.2574812857
    322.9720000000     106.8382849405       2.2924800602     -69.1322571718     -72.2048960330
    323.0220000000     107.0603290745       2.3106356517     -69.0634485795     -72.1522883072
