    319.4220000000      88.7578708674       1.1371179408     -43.2585939150     -45.1686580485
    319.4720000000      89.0495174885       1.1514776867     -43.1717939908     -45.0982957629
    319.5220000000      89.3391687455       1.1658825536     -43.0850021509     -45.0279023868
    319.5720000000      89.6275125746       1.1803461216     -42.9981821315     -44.9574779107
    319.6220000000      89.9145628628       1.1948681090     -42.9113339353     -44.8870223251
    319.6720000000      90.2003363642       1.2094483197     -42.8244573933     -44.8165356205
    319.7220000000      90.4848494532       1.2240865600     -42.7375523407     -44.7460177873
    319.7720000000      90.7681181491       1.2387826386     -42.6506186164     -44.6754688162
    319.8220000000      91.0501581284       1.2535363670     -42.5636560623     -44.6048886976
    319.8720000000      91.3309847339       1.2683475590     -42.4766645235     -44.5342774220
    319.9220000000      91.6106129859       1.2832160306     -42.3896438484     -44.4636349799
    319.9720000000      91.8890575900       1.2981416006     -42.3025938883     -44.3929613618
    320.0220000000      92.1663329474       1.3131240897     -42.2155144972     -44.3222565581
    320.0720000000      92.4424531633       1.3281633212     -42.1284055325     -44.2515205595
    320.1220000000      92.7174320553       1.3432591204     -42.0412668538     -44.1807533563
    320.1720000000      92.9912831616       1.3584113148     -41.9540983238     -44.1099549390
    320.2220000000      93.2640197489       1.3736197342     -41.8668998077     -44.0391252982
    320.2720000000      93.5356548201       1.3888842103     -41.7796711733     -43.9682644242
    320.3220000000      93.8062011213       1.4042045769     -41.6924122907     -43.8973723077
    320.3720000000      94.0756711487       1.4195806698     -41.6051230328     -43.8264489391
    320.4220000000      94.3440771562       1.4350123268     -41.5178032746     -43.7554943089
    320.4720000000      94.6114311614       1.4504993876     -41.4304528933     -43.6845084075
    320.5220000000      94.8777449514       1.4660416939     -41.3430717688     -43.6134912254
    320.5720000000      95.1430300907       1.4816390890     -41.2556597827     -43.5424427531
    320.6220000000      95.4072979249       1.4972914182     -41.1682168191     -43.4713629811
    320.6720000000      95.6705595878       1.5129985286     -41.0807427640     -43.4002518998
    320.7220000000      95.9328260065       1.5287602690     -40.9932375054     -43.3291094998
    320.7720000000      96.1941079072       1.5445764899     -40.9057009333     -43.2579357714
    320.8220000000      96.4544158197       1.5604470436     -40.8181329398     -43.1867307052
    320.8720000000      96.7137600824       1.5763717838     -40.7305334188     -43.1154942917
    320.9220000000      96.9721508480       1.5923505661     -40.6429022659     -43.0442265212
    320.9720000000      97.2295980873       1.6083832476     -40.5552393787     -42.9729273843
    321.0220000000      97.4861115942       1.6244696869     -40.4675446563     -42.9015968714
    321.0720000000      97.7417009895       1.6406097442     -40.3798179998     -42.8302349729
    321.1220000000      97.9963757260       1.6568032812     -40.2920593119     -42.7588416795
    321.1720000000      98.2501450922       1.6730501611     -40.2042684966     -42.6874169814
    321.2220000000      98.5030182159       1.6893502485     -40.1164454600     -42.6159608692
    321.2720000000      98.7550040687       1.7057034095     -40.0285901094     -42.5444733333
    321.3220000000      99.0061114694       1.7221095117     -39.9407023538     -42.4729543641
    321.3720000000      99.2563490877       1.7385684238     -39.8527821036     -42.4014039522
    321.4220000000      99.5057254477       1.7550800161     -39.7648292706     -42.3298220879
    321.4720000000      99.7542489313       1.7716441602     -39.6768437682     -42.2582087618
    321.5220000000     100.0019277818       1.7882607290     -39.5888255110     -42.1865639642
    321.5720000000     100.2487701062       1.8049295967     -39.5007744150     -42.1148876857
    321.6220000000     100.4947838799       1.8216506386     -39.4126903975     -42.0431799166
    321.6720000000     100.7399769481       1.8384237316     -39.3245733773     -41.9714406474
    321.7220000000     100.9843570296       1.8552487535     -39.2364232742     -41.8996698686
    321.7720000000     101.2279317197       1.8721255835     -39.1482400094     -41.8278675705
    321.8220000000     101.4707084924       1.8890541020     -39.0600235051     -41.7560337437
    321.8720000000     101.7126947039       1.9060341904     -38.9717736851     -41.6841683785
    321.9220000000     101.9538975944       1.9230657314     -38.8834904739     -41.6122714654
    321.9720000000     102.1943242911       1.9401486088     -38.7951737973     -41.5403429949
    322.0220000000     102.4339818107       1.9572827075     -38.7068235824     -41.4683829574
    322.0720000000     102.6728770617       1.9744679135     -38.6184397571     -41.3963913432
    322.1220000000     102.9110168464       1.9917041140     -38.5300222505     -41.3243681429
    322.1720000000     103.1484078639       2.0089911971     -38.4415709928     -41.2523133468
    322.2220000000     103.3850567117       2.0263290520     -38.3530859151     -41.1802269454
    322.2720000000     103.6209698880       2.0437175689     -38.2645669495     -41.1081089291
    322.3220000000     103.8561537939       2.0611566392     -38.1760140291     -41.0359592884
    322.3720000000     104.0906147353       2.0786461550     -38.0874270881     -40.9637780136
    322.4220000000     104.3243589253       2.0961860096     -37.9988060614     -40.8915650952
    322.4720000000     104.5573924851       2.1137760973     -37.9101508849     -40.8193205236
    322.5220000000     104.7897214473       2.1314163133     -37.8214614955     -40.7470442892
    322.5720000000     105.0213517563       2.1491065536     -37.7327378308     -40.6747363825
    322.6220000000     105.2522892713       2.1668467153     -37.6439798295     -40.6023967938
    322.6720000000     105.4825397673       2.1846366964     -37.5551874309     -40.5300255136
    322.7220000000     105.7121089366       2.2024763957     -37.4663605719     -40.4576225323
    322.7720000000     105.9401487573       2.2203702707     -37.3775565240     -40.3851878402
    322.8220000000     106.1662156373       2.2383206287     -37.2888057513     -40.3127214279
    322.8720000000     106.3912673171       2.2563223079     -37.2000441894     -40.2402232856
    322.9220000000     106.6152765298       2.2743755374     -37.1112740556     -40.1676934039
    322.9720000000     106.8382849405       2.2924800602     -37.0224929119     -40.0951317731
    323.0220000000     107.0603290745       2.3106356517     -36.9336986560     -40.0225383837
