B^{1/4}[MeV], Delta[MeV], m_s[MeV], c[1], Phase_transition[bool] 
161.76899822496398 152.5095375363135 110.07882771399645 0.2491877296881264 0
776.649600494606 70.05925479691358 92.24391875870758 0.5380997732410959 0
623.6277282538554 271.8580522316753 112.17701993091964 0.7406840747817516 0
251.64423217467842 381.59300357729387 118.4831909496356 0.032890579339563186 0
322.04885145585854 140.31943348999945 106.16932915995521 0.7202347270669172 0
210.80446464204778 493.1199067484096 117.09077942129508 0.47235479697373384 0
774.5783280692966 349.01832976985617 81.50960472207407 0.7796568681938196 0
716.0714976269455 539.266775672658 83.81489179471575 0.5801526371634236 0
273.96992831072583 124.00480647017282 99.42268147686556 0.6412796292552932 0
771.9252333272582 500.7179094109313 103.41040738556157 0.09481422987050525 0
664.1457253889828 247.60376610837565 114.86558928358102 0.6103907888730715 0
225.35192864011916 204.64685825545544 98.02210581580226 0.17147549351259495 0
864.1639740818226 75.17670202828909 112.11658880151757 0.8083624654414927 0
543.1778964558715 251.1000667013481 93.16367904681762 0.6681596272017357 0
325.57400388280723 467.72505159519466 92.70667162364259 0.7566958071320868 0
891.5642861467646 165.73739112543544 97.25202589939802 0.6612794574683518 0
839.2809233338842 307.3662428106226 102.11748809098353 0.5728375640494952 0
764.3768703573899 397.03935601581225 86.81341000684367 0.2657808186737045 0
712.825640493684 47.57242843176271 110.2816565795858 0.40780095107545633 0
666.4698851967524 266.4628891356067 109.25026499514878 0.6433776202951841 0
237.73401971250814 499.00700784195897 110.8142813636362 0.8264652373869636 0
881.1412734877557 144.5554109140555 89.47189781538324 0.303871265831852 0
872.6171737862071 110.45798227455754 99.65728796779091 0.909597757301729 0
799.3012260575533 417.5955010979398 112.4826454224742 0.8492256449725298 0
624.2806599427183 334.48065724709244 96.32273996712715 0.5202219655604757 0
318.99145188307864 74.5507638614674 115.00873283063393 0.038971247848269774 0
369.2793900683439 519.330319996977 104.98865171892174 0.7419820102427663 0
506.88506954156816 74.45607892715358 91.3970341005907 0.978484552913897 0
878.9446617900086 266.2737926449622 90.27109588222842 0.23664041582130357 0
877.730024337964 276.2550013914139 117.6959992894208 0.3966587741862887 0
890.3750048507834 128.2441286132795 115.4281878350334 0.8739345916218223 0
261.0537387231934 494.71456297744646 80.18243160397746 0.7743727959207238 0
211.24671293783973 372.2066561395034 119.33627196876256 0.5022548347176692 0
294.5446670554051 445.6728784010261 90.33042673839257 0.3956235739748255 0
566.7281002781037 87.59141313659605 102.87010040363832 0.9341810736812944 0
363.2385530219052 359.4704671029164 81.80571635660401 0.2136474950995475 0
508.7060296103448 290.27458638483563 89.50366879789166 0.8118570593535386 0
785.0829674938354 87.76362816263271 107.23952608535697 0.9247885190070456 0
830.2354696274406 464.11528649127195 110.24500194865882 0.7636331126211673 0
741.5360850397177 337.0496147087734 90.7262752382416 0.8220271038038515 0
493.17444737468026 478.26849090746856 115.64056278386943 0.3129430228250458 0
174.66394164750926 311.6130885506474 84.88757436323442 0.6884726826132161 0
393.67360326076334 213.20996576792885 111.26764084434387 0.12246459840150747 0
162.09775967515446 126.68317722607097 111.69024421760908 0.8840684726475693 0
814.0548479930387 461.29167281950754 81.71492898986348 0.07640642609118153 0
319.6822561525338 161.56045369139778 119.84534624307989 0.03921884038338386 0
374.0138001079173 383.46469119568314 81.74567692454349 0.5384060899238655 0
534.2413766393584 61.23942007674215 90.0445443775373 0.4816487592567714 0
519.2822088878271 491.05365623039313 95.09955735088005 0.01794627186731501 0
742.1338744614347 160.92133708409347 88.78142270227163 0.894629110585305 0
611.4766627403928 337.40735678672814 117.36839567957567 0.44126712701691206 0
146.63462662122296 506.9203803877585 85.72955794340172 0.6457072071122861 0
535.4039141236705 179.19493128682012 110.49030795183714 0.7556982083112701 0
897.1366653983735 401.6591540289996 119.58829592016403 0.8645864990052806 0
751.8185370813104 296.25842610094406 116.06522277994819 0.392422023558329 0
738.4286916634525 510.4528015114493 83.17459993915212 0.4423601595748736 0
149.12149962928083 9.698055811165085 98.38311618000877 0.7378222594197325 0
764.6022196458139 407.95404728619263 111.93495206483846 0.6036378318482585 0
851.1414832210414 16.373332962854963 94.73951363844515 0.9318546913074649 0
261.89092015298496 303.6001886093856 109.6624810178914 0.7814644159673911 0
831.9489482890027 181.90358746496977 91.63388453824538 0.037505028901378745 0
896.9669821849845 509.94296203052056 105.72886245698042 0.2802189994734857 0
665.1179988904333 436.8884217725607 106.33384387241557 0.3829229241263612 0
478.5839055112872 540.2289819193328 88.86116218541494 0.17729906248862515 0
339.28484984221313 515.5730039110042 103.14660949327 0.2353346732823639 0
866.1148687093269 276.58676930191007 98.25097334741798 0.5157000802434332 0
671.4541770742572 373.7347270611571 82.67903532146849 0.7221466768324277 0
635.7841953327614 254.76567506842164 105.39843626307324 0.27020738534175304 0
446.9339518979181 237.40055739942974 85.25206751370322 0.14682707321499644 0
271.7372897126704 316.19168009737376 110.91718506078877 0.5799605685929077 0
768.4284842047421 93.32757504182598 86.18623897288546 0.6062325948033395 0
303.2274846520115 442.0967634174253 96.78043212008089 0.318056828244317 0
224.1698484925525 32.78293875606081 98.82396767714582 0.2821638824676602 1
425.52671033064183 202.47068809311767 118.83313399782455 0.3416556095620167 0
722.1792798241238 344.15353524110634 106.92088999989068 0.0803504821276465 0
789.0021438968778 547.7452848778566 109.70777095060842 0.8027146245630935 0
624.4370117875529 264.713445179383 91.6482823087893 0.6623420897217688 0
841.5795904820067 142.37427979714403 87.94643503960764 0.37196670075402694 0
637.375605620387 475.4055436091705 88.45069720747338 0.5432702821779719 0
774.7092957883127 70.37565707940671 109.8383140640537 0.6998957185199055 0
770.2995667810433 427.5593235373946 102.65904734801916 0.557233519358449 0
