status: Fail
e[MeV/fm^3], P[MeV/fm^3], rho[fm^-3] 
4.352401510171787e-12 6.303951623613231e-26 4.00000001E-15
4.385881724042108e-12 6.303951489693178e-25 4.73000011E-15
4.408201721542268e-12 6.3039514896931784e-24 4.75999990E-15
4.547701563628207e-12 6.303951835653314e-23 4.91000012E-15
6.472802734647461e-12 7.552309618696132e-22 6.99000006E-15
9.151203807347077e-12 8.738171533730555e-21 9.89999996E-15
2.516581043393445e-11 1.0610709240595186e-19 2.71999999E-14
1.1829604478286538e-10 3.632581454081605e-18 1.27000000E-13
6.417002545596988e-10 1.1858621270745054e-16 6.93000019E-13
5.825522483502724e-09 6.0817559262413e-15 6.29500011E-12
1.463076556513704e-08 3.100807203113195e-14 1.58099991E-11
3.6755473256723625e-08 1.5173141217578792e-13 3.97200016E-11
9.229323670257585e-08 7.184029542763463e-13 9.97599989E-11
2.3190489444309905e-07 3.2868444083356306e-12 2.50600013E-10
5.825522014782542e-07 1.4467829278717761e-11 6.29399977E-10
1.4630766011537214e-06 6.088675262846003e-11 1.58100000E-09
3.6761054932889316e-06 2.441027814078792e-10 3.97200006E-09
4.62749577314836e-06 3.2824920066468985e-10 4.99999997E-09
9.234903147902422e-06 8.956684864913728e-10 9.97599958E-09
1.8425167148964853e-05 2.3923701170796056e-09 1.98999999E-08
3.676663526985449e-05 6.2790646465570835e-09 3.97199997E-08
7.337703148348822e-05 1.625342997153083e-08 7.92400030E-08
0.0001464192512306695 4.1669222382058286e-08 1.58099994E-07
0.00018436327822895197 5.4538940714708994e-08 1.98999999E-07
0.00029222469775918273 1.0167545066887486e-07 3.15499989E-07
0.00046319597302403755 1.890616389359159e-07 4.99999999E-07
0.0005831102128547625 2.577179732985736e-07 6.29400006E-07
0.0007343282715273694 3.143215241887514e-07 7.92399987E-07
0.0009246063487032633 4.281758984082486e-07 9.97599955E-07
0.001465308613179742 7.939227236660169e-07 1.58099999E-06
0.0023235128010829667 1.4705537259348458e-06 2.50600010E-06
0.003683359540743502 2.722594600566705e-06 3.97199983E-06
0.004638097788421942 3.533926982323669e-06 4.99999987E-06
0.005836682253472714 4.807283297825919e-06 6.29399983E-06
0.007354442965123871 6.541213516550845e-06 7.92399987E-06
0.009257223859642859 8.89418911966538e-06 9.97600000E-06
0.011662204524935355 1.2096328470175446e-05 1.25600000E-05
0.014680985473022363 1.56228899500813e-05 1.58099992E-05
0.018486547172780303 2.1246416578409632e-05 1.99000006E-05
0.023279768920950343 2.8885439877150674e-05 2.50600006E-05
0.02931733081712436 3.713156607224764e-05 3.15500001E-05
0.03692287588847584 5.048785869648918e-05 3.97199983E-05
0.04649257993632102 6.865745884469403e-05 4.99999987E-05
0.05853422460847915 9.331102742347864e-05 6.29400020E-05
0.07376762873343995 0.00012688925034902914 7.92400024E-05
0.0928512358030795 0.000162099069590439 9.97600000E-05
0.1028952365753518 0.00018050190557073937 1.10499997E-04
0.11695684761125688 0.0002053440752095012 1.25599996E-04
0.1473120538090769 0.00027918982386165164 1.58099996E-04
0.1855350764516097 0.0003630126175008956 1.99000002E-04
0.2336904906719104 0.0004892099353054549 2.50599987E-04
0.2398842997711083 0.00048715649450871987 2.57200008E-04
0.24886809767682191 0.0004924575032615113 2.66999996E-04
0.29172251765233687 0.0005212949812344528 3.12599994E-04
0.3688381442252 0.0005678544757755366 3.95100011E-04
0.444391373539853 0.0006136105348208876 4.75899986E-04
0.5428225916431655 0.0006759614511130431 5.81200002E-04
0.6673682433148784 0.0007602194782251576 7.14300026E-04
0.8208183285215115 0.0008731922299585852 8.78599996E-04
4.7041264004410435 0.007865334258869693 5.00000001E-03
9.417414885436974 0.01619759881346834 1.00000000E-02
14.136675568630121 0.029317088868230482 1.50000000E-02
18.8608894300251 0.04527331676444691 2.00000000E-02
23.589421766695647 0.06355987275363063 2.50000000E-02
28.32184280687501 0.08397296578231073 3.00000000E-02
33.057846654844504 0.10642825612656338 3.50000000E-02
37.797209217717175 0.13090642782769402 4.00000000E-02
42.53976320702813 0.15742800960206774 4.50000000E-02
47.28538262632846 0.18603960573936704 5.00000000E-02
52.03397261558138 0.21680569874461114 5.50000000E-02
56.7854618623592 0.24980348906375377 6.00000000E-02
61.53979824944172 0.2851195426183825 6.50000000E-02
66.29694427921439 0.32284754206484634 7.00000000E-02
71.0568749532675 0.36308675675766167 7.50000000E-02
131.63363189626028 2.6886615795116087 0.041845875208474576
145.30083979387413 2.77375860417555 0.08211602446722478
159.02460253037384 2.8670598206839477 0.12365714295629804
172.29171073137684 2.9684062509746987 0.1647017450674686
184.91094531508077 3.0774455889917927 0.20447312152788993
196.82578501839154 3.193759283585506 0.2426384965497895
208.03713074326564 3.316916183708254 0.27907315110098424
218.57008118599904 3.446495336283556 0.3137532517697874
228.4592384159804 3.5820953020225828 0.3467050245504784
237.74212290746925 3.7233374836238786 0.37797975537985284
246.4562495872472 3.869866772768018 0.40764111412003706
254.63788365549863 4.021351021485677 0.43575853769410033
262.32155983496534 4.177480033956137 0.4624036284995293
269.5399254087538 4.337964385875626 0.4876480046049141
276.32368112245314 4.502534189497507 0.5115616958247662
282.70145432914626 4.670937817435271 0.5342112509610076
288.6992319592885 4.8429404553744915 0.5556553181075131
294.335935294964 5.017755267483109 0.575913446745986
299.6486222855682 5.194462358655442 0.5951190374001764
304.6702359776724 5.3742056508232 0.6134036349852786
309.42119462574067 5.556816602514456 0.6308221952592049
313.92068968337327 5.742138709034178 0.6474274923943233
318.1867014908112 5.930026742901652 0.6632699262429952
322.23602437163254 6.120346011352056 0.678397390751764
326.084300901437 6.312971631875272 0.6928551986958359
329.74606445341715 6.50778783810899 0.706686056047789
333.2347884652628 6.7046873123649995 0.7199300788744465
336.56294068647463 6.903570554020915 0.7326248443807614
339.7420407647136 7.1043452826641955 0.7448054691387237
342.782719511063 7.3069258774265435 0.7565047072417895
345.6947785053222 7.51123285461836 0.7677530622847792
348.4872489311414 7.717192382532933 0.7785789081449215
351.16844874513566 7.924735830906802 0.7890086144287554
353.7460375153179 8.133799356057414 0.7990666728717483
356.2270685055506 8.344323518088906 0.8087758224695735
358.6180377058424 8.556252929519466 0.8181571711487339
360.924929704517 8.769535933171387 0.8272303129260511
363.1532602823503 8.984124306222453 0.8360134392000779
365.30811585158153 9.199972990200616 0.8445234439731172
367.3941897975052 9.417039843352365 0.852776022653341
369.41581584004564 9.635285414364985 0.8607857640988132
371.3769986413479 9.854672735547608 0.8685662364512077
373.28144174716056 10.075167133672322 0.8761300663343277
375.13257315748785 10.296736056917362 0.8834890124356495
376.93356858647627 10.519348916819286 0.8906540329722891
378.68737269946064 10.742976943276958 0.8976353480685697
380.3967184285044 10.967593052110386 0.9044424969585159
382.0641445666454 11.193171723600496 0.9110843906054396
383.69201177111177 11.419688891163142 0.9175693599119131
385.2825171363471 11.647121839144539 0.9239052000262806
386.8377074564413 11.875449109180767 0.9300992109282114
388.35949129840185 12.104650413955774 0.9361582346670645
389.84965000801253 12.334706557995306 0.9420886895337002
391.30984772875934 12.565599364816602 0.9478966013604717
392.74164054107706 12.797311609701808 0.9535876322562769
394.14648481172696 13.029826957794178 0.9591671070472981
395.52574479083813 13.263129906975886 0.964640037411287
396.88069958258774 13.497205735065558 0.9700111442168837
398.21254949737306 13.732040451050565 0.9752848779393236
399.5224218714835 13.967620749923013 0.9804654374959506
400.8113764013975 14.203933970875916 0.9855567875837737
402.0804100162769 14.440968058539754 0.9905626745787711
403.33046136944233 14.678711527012785 0.9954866413069352
404.5624149473998 14.917153426489516 1.0003320405884404
405.7771048422313 15.156283312201014 1.0051020477149402
406.97531823682516 15.39609121555249 1.0097996720824052
408.1577985943985 15.63656761723671 1.014427767823273
409.32524860483187 15.877703422188763 1.0189890436979014
410.4783329114153 16.119489936215427 1.0234860723213
411.6176806025528 16.361918844203903 1.0279212985487918
412.74388753625306 16.604982189746057 1.0322970473997255
413.8575184752368 16.848672356091956 1.036615531339688
414.9591090677504 17.09298204834882 1.0408788570578025
416.0491676810098 17.337904276782627 1.045089031783065
417.12817709474587 17.58343234119618 1.0492479691007193
418.196596082589 17.82955981627232 1.0533574944682995
419.25486086601666 18.0762805378186 1.0574193502265776
420.3033864781024 18.323588589851877 1.0614352003831213
421.342568020213 18.57147829244914 1.065406635005744
422.3727818400349 18.81994419034295 1.0693351743528114
423.3943866211848 19.06898104218171 1.0732222727221454
424.4077244016463 19.318583810403947 1.0770693220360703
425.413121525751 19.5687476517084 1.0808776552400108
426.4108895265253 19.819467908073552 1.0846485494300508
427.40132595510386 20.070740098269802 1.0883832288103314
428.38471515107994 20.3225599098576 1.0920828674610785
429.3613289660839 20.574923191627786 1.0957485919276873
